【阿黨比周】	相互勾結，相互偏袒，結黨營私。
【愛不忍釋】	喜歡得捨不得放下。極言喜愛。
【愛不釋手】	見“愛不忍釋”。
【愛才如命】	見“愛才若渴”。
【愛才若渴】	愛慕賢才就像口渴思飲一樣。形容十分愛重人才。
【愛財如命】	吝惜錢財就像吝惜自己的生命一樣。喻過分貪財，非常吝嗇。
【愛禮存羊】	《論語·八佾》：“子貢欲去告朔之餼羊，子曰：‘賜也，爾愛其羊，我愛其禮。’”後以“愛禮存羊”比喻為維護根本而保留有關儀節。
【愛莫能助】	雖然同情，卻限于條件無從幫助。語本《詩·大雅·烝民》：“我儀圖之，維仲山甫舉之，愛莫助之。”鄭玄箋：“愛，惜也。仲山甫獨能舉此德而行之，惜乎莫能助之者。”
【愛人以德】	按照道德標準去愛護和幫助他人。
【愛手反裘】	比喻愚昧不辨本末。語本漢劉向《新序·雜事二》：“魏文侯出遊，見路人反裘而負芻。文侯曰：‘胡為反裘而負芻？’對曰：‘臣愛其毛。’文侯曰：‘若不知其裡盡而毛無所恃耶？’”
【愛素好古】	《老子》：“見素抱朴，少私寡慾。”《論語·述而》：“子曰：述而不作，信而好古，竊比於我老彭。”後以“愛素好古”謂愛好樸質，不趨時尚。
【愛屋及烏】	謂愛其人而推愛及與之有關的人或物。語本《尚書大傳》卷三：“愛人者，兼其屋上之烏。”
【愛惜羽毛】	漢劉向《說苑·雜言》：“夫君子愛口，孔雀愛羽，虎豹愛爪。”後以“愛惜羽毛”喻珍惜自己的名聲。
【愛憎分明】	愛什麼，恨什麼，態度很鮮明。
【礙手礙腳】	妨礙別人做事，使人感到不方便。
【礙足礙手】	同“礙手礙腳”。
【安邦定國】	使國家平安穩定。
【安不忘危】	處在平安的環境，要經常想到可能會出現的困難危險。
【安步當車】	緩緩步行，當作坐車。語本《戰國策·齊策四》：“晚食以當肉，安步以當車。”
【安常習故】	謂習慣于成規。
【安堵樂業】	同“安居樂業”。
【安分守己】	安守本分，規矩老實。
【安份守己】	見“安分守己”。
【安富尊榮】	安逸富足，尊貴榮耀。
【安故重遷】	安於舊俗，不輕易改變。
【安家樂業】	猶安居樂業。
【安家立業】	成立家庭，建立事業。
【安家落戶】	①把家庭安置在某地，長期住下去。②比喻某種生物被引進到新地方後，同原產地一樣地生長繁殖。
【安居樂業】	安定地生活，愉快地從事其職業。
【安老懷少】	尊重老人，使其安逸；關懷年輕人，使其信從。語本《論語·公冶長》：“子路曰：‘原聞子之志。’子曰：‘老者安之，朋友信之，少者懷之。’”邢昺疏：“此夫子之志也。懷，歸也，言己原老者安，己事之以孝敬也……少者歸，己施之以恩惠也。”
【安 樂 窩】	宋邵雍自號安樂先生，隱居蘇門山，名其居為“安樂窩”。後遷洛陽天津橋南仍用此名。曾作《無名公傳》自況：“所寢之室謂之安樂窩，不求過美，惟求冬暖夏涼。”又作《安樂窩中四長吟》：“安樂窩中快活人，閒來四物幸相親：一編詩逸收花月，一部書嚴驚鬼神，一炷香清沖宇泰，一樽酒美湛天真。”後泛指安靜舒適的住處。
【安民告示】	安定民心的告示。
【安內攘外】	漢張仲景《傷寒論·太陽病上》：“甘草甘平，有安內攘外之能。”原就藥的療效而言。後多指安定內部，排除外患。
【安貧樂道】	謂安於清貧，以追求聖賢之道為樂。為古代儒家所提倡的立身處世的態度。語本《論語·雍也》：“賢哉回也！一簞食，一瓢飲，在陋巷。人不堪其憂，回也不改其樂。”何晏集解引孔安國曰：“顏淵樂道，雖簞食在陋巷，不改其所樂。”
【安然無恙】	平安無事。
【安如太山】	見“安如泰山”。
【安如泰山】	形容極其平安穩固。泰，也寫作“太”。
【安身樂業】	安穩快樂地過日子。
【安身立命】	謂生活有著落，精神亦有所寄託。
【安生服業】	平穩地生活，安心地從事自己的生業。
【安生樂業】	猶安居樂業。
【安時處順】	謂安於時運，順應變化。語本《莊子·養生主》：“適來，夫子時也；適去，夫子順也。安時而處順，哀樂不能入也。”
【安土樂業】	安居本土，愉快地從事自己的職業。
【安土重舊】	留戀故土，不輕易改變舊俗。
【安土重居】	猶安土重遷。
【安土重遷】	留戀故鄉，不願輕易遷居異地。
【安心樂業】	心緒安定，生活愉快。
【安心樂意】	心情安定，滿意。
【安心落意】	放心，無憂慮。
【安營下寨】	見“安營紮寨”。
【安營紮寨】	亦作“安營下寨”。①指軍隊駐紮。②現喻指為完成某項任務而建立臨時住所。
【安於盤石】	象盤石一樣安然不動。形容安定穩固。
【安於現狀】	習慣、滿足於目前的狀況，不求進取。
【安枕而臥】	安安穩穩地睡眠。喻指無憂無慮。
【安之若素】	謂對反常現象或不順利的情況視若平常，毫不在意。
【鞍前馬後】	又作：馬前馬後。謂追隨左右。
【闇室不欺】	據漢劉向《列女傳·衛靈夫人》載，衛大夫蘧伯玉仁智敬上，夜間乘車過衛靈公闕，按照禮制下公門，式路馬，不以闇昧廢禮。後因以“闇室不欺”謂在無人看見的地方，也不作昧心事。
【闇無天日】	形容社會極端黑暗。
【岸谷之變】	《詩·小雅·十月之交》：“高岸為谷，深谷為陵。”毛傳：“言易位也。”鄭玄箋：“易位者，君子居下小人處上之謂也。”後因以“岸谷之變”比喻政治上的重大變化。
【岸然道貌】	①謂神態嚴肅。②指嚴肅的神態。
【按兵不動】	讓軍隊駐紮下來暫不行動。
【按步就班】	見“按部就班”。
【按部就班】	①謂安排文義，組織章句。語出晉陸機《文賦》：“觀古今於須臾，撫四海於一瞬。然後選義按部，考辭就班。”②按照條理或遵循一定的程序。
【按甲寢兵】	見“按甲休兵”。
【按甲休兵】	屯兵休整。
【按名責實】	循名責實。
【按圖索驥】	亦作“按圖索駿”。①按照圖像尋找良馬。比喻拘泥成法辦事。語本《漢書·梅福傳》：“今不循伯者之道，乃欲以三代選舉之法，取當時之士，猶察伯樂之圖，求騏驥於市，而不可得，亦已明矣。”②用於比喻按照線索去尋找，易於獲得。
【按圖索駿】	見“按圖索驥”。
【案兵束甲】	放下兵器，捆束鎧甲。謂停止作戰。
【案甲休兵】	謂停止戰事，休養士卒。
【暗錘打人】	比喻暗中對人進行攻擊。
【暗鬥明爭】	暗裡明裡都在進行鬥爭。常形容儘力爭權奪利。
【暗度陳倉】	《史記·高祖本紀》：“正月，項羽自立為西楚霸王，王梁楚地九郡，都彭城。負約，更立沛公為漢王，王巴、蜀、漢中，都南鄭……漢王之國，項王使卒三萬人從，楚與諸侯之慕從者數萬人，從杜南入蝕中。去輒燒絕棧道，以備諸侯盜兵襲之，亦示項羽無東意……八月，漢王用韓信之計，從故道還，襲雍王章邯。邯迎擊漢陳倉，雍兵敗，還走；止戰好畤，又覆敗，走廢丘。漢王遂定雍地。東至咸陽，引兵圍雍王廢丘，而遣諸將略定隴西、北地、上郡。”陳倉，古縣名，在今陝西省寶雞市東，為通向漢中的交通孔道。後遂以“暗度陳倉”指正面迷惑敵人，而從側翼進行突然襲擊。亦比喻暗中進行活動。
【暗箭難防】	比喻陰謀詭計難以防備。
【暗箭傷人】	放冷箭傷害人。比喻用陰險的手段暗中攻擊或陷害別人。語本宋劉炎《邇言》卷六：“暗箭中人，其深次骨，人之怨之，亦必次骨，以其掩人所不備也。”
【暗綠稀紅】	又作：綠肥紅瘦。形容葉盛花稀的暮春景象。
【暗室不欺】	雖在別人看不見的地方，也不做虧心事。謂光明磊落。語出唐駱賓王《螢火賦》：“類君子之有道，入暗室而不欺。”
【暗室屋漏】	指別人看不見的地方；隱私之室。
【暗送秋波】	本指女子暗中以眉目傳情，引申為獻媚取寵，暗中勾結。秋波，比喻美女的眼睛。語本宋蘇軾《百步洪》詩之二：“佳人未肯回秋波，幼輿欲語防飛梭。”
【暗無天日】	看不到一線光明。多形容政治腐敗，社會黑暗。
【暗香疏影】	宋林逋《山園小梅》詩之一：“疏影橫斜水清淺，暗香浮動月黃昏。”後遂以“暗香疏影”為梅花的代稱。
【暗中摸索】	在黑暗中尋找探索。亦比喻無人指引，獨自探求。
【黯晦消沉】	謂湮沒消失。
【黯然神傷】	心神悲沮貌。
【黯然失色】	指相比之下，事物彷彿失去原有的色澤、光彩。
【黯然無色】	指事物失去原有光彩，變得暗淡無光。
【黯然銷魂】	心神沮喪，失魂落魄。
【昂藏七尺】	指軒昂偉岸的男子漢。
【昂首闊步】	仰著頭，邁著大步。形容精神奮發或態度傲慢。
【昂首挺胸】	仰起頭，挺起胸膛。形容無所畏懼或堅決的樣子。
【昂頭闊步】	見“昂首闊步”。
【昂頭挺胸】	見“昂首挺胸”。
【盎盂相擊】	見“盎盂相敲”。
【盎盂相敲】	比喻家庭口角。
【嗷嗷待哺】	迫于饑餓而急於求食的樣子。
【遨翔自得】	自由自在的樣子。
【熬腸刮肚】	謂從飲食方面儘力節儉。
【熬更守夜】	猶熬夜。
【熬姜呷醋】	比喻生活清苦。
【熬枯受淡】	忍受清苦的生活。
【熬清守淡】	謂忍受清苦乏味的生活。
【熬清受淡】	見“熬清守淡”。
【熬心費力】	謂耗費心神和氣力。
【熬油費火】	謂耗費燈油。多指日夜忙碌。
【聱牙戟口】	形容文詞艱澀，拗口難讀。
【聱牙詰曲】	見“聱牙詰屈”。
【聱牙詰屈】	形容文辭艱澀難讀。
【聱牙詘曲】	見“聱牙詰屈”。
【謷牙詰屈】	同“詰屈聱牙”。謷，通“聱”。
【鼇裡奪尊】	又作：出類拔萃。
【鼇頭獨占】	比喻占首位或第一名。
【鼇擲鯨呿】	見“鼇擲鯨吞”。
【鼇擲鯨吞】	比喻文辭氣勢磅礴，跌宕起伏。
【傲頭傲腦】	形容倔強的樣子。
【八拜之交】	指結拜兄弟或姐妹的關係。
【八窗玲瓏】	①唐盧綸《賦得彭祖樓送楊德宗歸徐州幕》詩：“四戶八窗明，玲瓏逼上清。”後稱四壁窗戶軒敞，室內通徹明亮為“八窗玲瓏”。亦作“八窗玲瓏”。②比喻通達明澈的修養境界。
【八窗玲瓏】	見“八窗玲瓏”。
【八方呼應】	各方面聲氣相通，相互配合。
【八府巡按】	巡按之名，起於明代，非固定職官，臨時由朝廷委派監察御史擔任，分別巡視各省，考核吏治。“八府巡按”常見于戲曲、小說，民間多視為清廉而有權勢的大官。
【八紘同軌】	謂天下一統。
【八面⒙瓏】	見“八面玲瓏”。
【八面見光】	形容說話、做事圓轉，面面俱到。亦以譏諷人圓滑世故，各方討好。
【八面玲瓏】	①謂四壁窗戶軒敞，室內通徹明亮。②形容物體外觀挺秀。③形容圓活、靈秀。④形容人世故圓滑，面面俱到，或善於應酬，各方面的關係都能應付。
【八面駛風】	形容善於見風使舵，各方面都兜得傳。
【八面受敵】	①謂功力深厚，能應付各種情況。②硯名。
【八面威風】	①形容威風十足，聲勢懾人。②宋徽宗內庫所藏玉杯名。見《通俗常言疏證·武備》引李紹聞《雲間雜誌》。
【八面瑩澈】	比喻精明練達，洞察一切。
【八面張羅】	形容各方面都應酬得好。
【八萬四千】	本為佛教表示事物眾多的數字，後用以形容極多。
【八仙過海】	相傳八仙過海時不用舟船，各有一套法術。民間因有“八仙過海，各顯神通”的諺語。明無名氏《八仙過海》第二折：“則俺這八仙過海神通大，方顯這眾聖歸山道法強，端的萬古名揚。”《西遊記》第八一回：“正是八仙過海，獨自顯神通。”後以比喻各自拿出本領或辦法，互相競賽。
【八音遏密】	《書·舜典》：“帝乃殂落，百姓如喪考妣。三載，四海遏密八音。”謂堯死，天下為之舉哀，停止作樂。後以“八音遏密”指國君（或國家元首）去世。
【八珍玉食】	泛指精美的餚饌。
【八字打開】	意謂明白無隱，開門見山。
【八字沒見一撇】	比喻事情毫無眉目，未見端緒。《通俗常言疏證》卷三：“《通俗編》：‘硃子《與劉子澄書》：聖賢已是八字打開了，人不自領會。’按今有‘八字不見兩撇’之諺，似又因於此。凡事無端緒者，謂之八字不曾見兩撇。”今通常作“八字沒見一撇”。
【巴巴急急】	同“巴巴結結”。
【巴巴劫劫】	心情急切貌。
【巴巴結結】	①勉強，湊合。②勤懇；辛勞。③形容說話不流利。
【巴高望上】	猶高攀，向上爬。
【巴高枝兒】	比喻高攀。v
【巴人下里】	①即下里巴人。古代楚國流行的民間歌曲。用以稱流俗的音樂。巴，古國名，在今四川東部一帶，古為楚地。下里，鄉裡。②泛指粗俗的作品。
【巴三覽四】	東拉西扯。
【巴山度嶺】	爬山越嶺。
【巴山越嶺】	爬山越嶺。形容善於登山行走。
【扒耳搔腮】	形容焦急而又無可奈何。
【扒高踩低】	比喻對上奉承攀附，對下欺侮壓制。
【拔本塞原】	亦作“拔本塞源”。①比喻背棄根本。②剷除事物發生的根源。多用於壞事。
【拔本塞源】	見“拔本塞原”。
【拔叢出類】	又作：拔萃出類。
【拔萃出類】	同“出類拔萃”。謂高出眾人。
【拔萃出群】	見“拔萃出類”。
【拔刀相向】	謂動武。
【拔刀相助】	拔出刀來助戰。多指見義勇為。
【拔丁抽楔】	比喻排除疑難。丁，“釘”的古字。
【拔鍋卷席】	①比喻帶走全部家當。②又作：捲鋪蓋。比喻被解僱。
【拔劍論功】	爭論功勞激烈到几乎動武。語出《史記·劉敬叔孫通列傳》：“高帝悉去秦苛儀法，為簡易。群臣飲酒爭功，醉或妄呼，拔劍擊柱，高帝患之。”
【拔葵去織】	《史記·循吏列傳》：“扞公儀休呴食茹而美，拔其園葵而棄之。見其家織布好，而疾出其家婦，燔其機，云：‘欲令農士工女安所讎其貨乎？’”後以“拔葵去織”為居官不與民爭利的典故。
【拔來報往】	速來速往。後以指往來頻繁。報，通“赴”。語出《禮記·少儀》：“毋拔來，毋報往。”鄭玄註：“報，讀為‘赴疾’之‘赴’。拔、赴皆疾也。”
【拔類超群】	見“拔萃出類”。
【拔毛濟世】	謂受輕微損失而能有利於世人。語出《列子·楊硃》：“禽子問楊硃曰：‘去子體之一毛以濟一世，汝為之乎？’楊子曰：‘世固非一毛之所濟。’禽子曰：‘假濟，為之乎？’楊子弗應。”
【拔茅連茹】	比喻遞相推薦引進。語出《易·泰》：“拔茅茹以其匯。”王弼註：“茅之為物，拔其根而相牽引者也。茹，相牽引之貌也。”硃熹本義：“三陽在下，拔茅連茹之象。”
【拔苗助長】	同“揠苗助長”。
【拔群出萃】	高出眾人。多指才能。
【拔山蓋世】	謂勇猛無敵于天下。語出《史記·項羽本紀》：“力拔山兮氣蓋世，時不利兮騅不逝。”
【拔山舉鼎】	同“拔山扛鼎”。
【拔山扛鼎】	形容力量超人或氣勢雄偉。語出《史記·項羽本紀》：“籍長八尺餘，力能扛鼎。”又：“力拔山兮氣蓋世。”
【拔十得五】	謂選拔人才而得其半數。
【拔十失五】	謂選拔人才而失其半數。
【拔樹搜根】	見“拔樹尋根”。
【拔樹尋根】	比喻追根究底，徹底查問。
【拔犀擢象】	比喻提拔特出人才。
【拔轄投井】	謂慇勤留客飲酒。
【拔新領異】	創立新意，提出獨特見解。
【拔宅飛昇】	見“拔宅上昇”。
【拔宅上昇】	《太平廣記》卷十四引《十二真君傳·許真君》：“真君以東晉孝武帝太康二年八月一日，於洪州西山，舉家四十二口，拔宅上昇而去。”後因以“拔宅上昇”。指全家成仙。
【拔趙易漢】	見“拔趙幟易漢幟”。
【拔趙幟立赤幟】	見“拔趙幟易漢幟”。
【拔趙幟易漢幟】	據《史記·淮陰侯列傳》載，韓信率漢軍擊趙，將至井陘口，先挑選輕騎二千，人持一赤幟，抄小路埋伏于趙營附近。接著背水列陣以誘趙。趙軍出擊，漢軍佯敗而走，趙軍果空營追擊。“信所出奇兵二千騎，共候趙空壁逐利，則馳入趙壁，皆拔趙旗，立漢赤幟二千。”趙軍進擊不能勝，欲回營，見營中儘是漢軍赤幟，大驚，“以為漢皆已得趙王將矣”，於是潰不成軍，終於為信所滅。後遂用以為偷換取勝或戰勝、勝利之典。
【拔幟樹幟】	同“拔趙幟易漢幟”。
【跋胡疐尾】	《詩·豳風·狼跋》：“狼跋其胡，載疐其尾。”後以“跋胡疐尾”喻進退兩難。
【跋扈飛揚】	驕橫放肆。
【跋扈自恣】	專橫強暴，為所欲為。
【跋扈恣睢】	見“跋扈自恣”。
【跋來報往】	匆匆地跑來跑去。跋，通“拔”。語本《禮記·少儀》：“毋拔來，毋報往。”鄭玄註：“報讀為赴疾之赴，撥、赴皆疾也。”
【跋履山川】	同“跋山涉水”。
【跋前踕後】	同“跋胡疐尾”。
【跋前疐後】	同“跋胡疐尾”。
【跋前躓後】	同“跋胡疐尾”。
【跋山涉川】	見“跋山涉水”。
【跋山涉水】	亦作“跋山涉川”。形容遠道奔波之苦。
【跋涉山川】	同“跋山涉水”。
【把臂入林】	謂與友人一同歸隱。
【把飯叫饑】	比喻多此一舉。
【把酒持螯】	手持蟹螯飲酒。古人視為人生一大樂事。語本《晉書·畢卓傳》：“卓嘗謂人曰：‘得酒滿數百斛船，四時甘味置兩頭，右手持酒杯，左手持蟹螯，拍浮酒船中，便足了一生矣。’”
【罷於奔命】	原謂因受命到處奔走而精疲力盡。後以指忙於奔走應付，非常疲勞。
【霸道橫行】	又作：橫行霸道。
【白璧青蠅】	唐陳子昂《宴胡楚真禁所》詩：“青蠅一相點，白璧遂成冤。”青蠅玷白璧，比喻讒人陷害忠良。
【白璧三獻】	楚人和氏得玉璞，兩獻楚王，兩遭刖足。第三次王使治璞，得白玉，琢以為璧，世稱“和氏璧”。見《韓非子·和氏》。後因以“白璧三獻”喻不識良材或懷才不遇。
【白璧微瑕】	白玉上的小斑點。比喻美中不足，有小缺點。
【白璧無瑕】	①白玉上沒有一點斑點。比喻品德完美。②喻女子堅貞自守。
【白齒青眉】	指青少年時期。
【白藋同心】	又作：心如野草。形容不羡榮華的品節。
【白髮青衫】	①謂晚年得官。唐宋時文官品級低的穿青色服。②謂晚年尚作微官。
【白黑不分】	比喻清濁混亂，是非不明。
【白黑顛倒】	又作：白黑不分。
【白虹貫日】	①白色長虹穿日而過。一種罕見的日暈天象。古人認為人間有非常之事發生，就會出現這種天象變化。②比喻眼睛多白。
【白華之怨】	謂女子失寵之哀怨。
【白話八股】	用白話寫的類似舊時八股式的文章。喻指應命而寫的刻板文章。
【白袷藍衫】	舊時士人的服裝。亦借指尚未取得功名的士人。
【白駒過郤】	亦作“白駒過隙”。謂日影如白色的駿馬飛快地馳過縫隙。形容時間過得極快。
【白駒過隙】	見“白駒過郤”。
【白駒空谷】	《詩·小雅·白駒》：“皎皎白駒，在彼空谷。”謂白駒在空谷。比喻賢人在野而不出仕。後亦以“白駒空谷”比喻賢人出仕而谷空。
【白龍魚服】	漢劉向《說苑·正諫》：“昔白龍下清泠之淵，化為魚，漁者豫且射中其目。”後以“白龍魚服”比喻貴人微服出行，恐有不測之虞。
【白麵儒冠】	猶白面書生。
【白麵儒生】	猶白面書生。
【白麵書郎】	猶白面書生。
【白面書生】	指只知讀書，閱歷少，見識淺的讀書人。有時含貶義。亦泛指讀書人。
【白帢青衫】	古代士人所戴的帽和所穿的衣。因即指士人。
【白日飛昇】	見“白日飛昇”。
【白日飛昇】	亦作“白日飛昇”。猶白日昇天。
【白日見鬼】	①舊喻官衙清閒冷落。②比喻虛妄荒誕，不可能出現的事。
【白日青天】	白天。表示強調。
【白日上昇】	又作：白日昇天。
【白日昇天】	①道教謂人修煉得道後，白晝飛昇天界成仙。②五代王定保《唐摭言·好放孤寒》：“元和十一年，歲在丙申，李涼公下三十三人，皆取寒素。時有詩曰：‘元和天子丙申年，三十三人同得仙，袍似爛銀文似錦，相將白日上青天。’”後遂以喻指一朝顯貴。
【白日繡衣】	又作：衣錦晝行。舊時比喻有了功名富貴去誇耀鄉裡。
【白日作夢】	見“白日做夢”。
【白日做夢】	比喻幻想不可能實現。
【白山黑水】	長白山和黑龍江的合稱。亦泛指我國東北地區。
【白手成家】	見“白手起家”。
【白手空拳】	形容手中一無所有。
【白手起家】	形容原來無基礎或條件很差而創出一番事業。
【白手興家】	見“白手起家”。
【白首北面】	謂年已老猶從師受業。形容好學不倦。
【白首空歸】	謂到老而無所成就。
【白首齊眉】	猶白首相莊。
【白首窮經】	謂直到年老尚鑽研經籍。形容好學不倦。
【白首如新】	同“白頭如新”。
【白首同歸】	晉潘岳《金谷集作詩》：“春榮誰不慕，歲寒良獨希；投分寄石友，白首同所歸。”原謂友誼堅貞，至老不變。南朝宋劉義慶《世說新語·仇隙》：“孫秀既恨石崇不與綠珠，又憾潘岳昔遇之不以禮……收石崇、歐陽堅石（歐陽建），同日收岳。石先送市，亦不相知。潘後至，石謂潘曰：‘安仁，卿亦復爾邪？’潘曰：‘可謂白首同所歸。’”當時以為潘詩適成其讖。後轉指年齡皆老而同時死亡。
【白首為郎】	《漢武故事》載：武帝嘗至郎署，見郎官顏駟“鬚鬢皓白，衣服不整”。武帝問他：“何時為郎？”答道：“以文帝時為郎。”武帝又問為什麼“老而不遇”？他回答說：“文帝好文而臣尚武，景帝好老而臣尚少，陛下好少而臣已老，是以三世不遇。”後因以“白首為郎”慨嘆雖有才能而至老不遇。
【白首相莊】	謂夫婦到老猶相敬愛。
【白首一節】	謂年雖老而志節不衰。
【白天見鬼】	見“白日見鬼”。
【白頭不終】	謂夫婦不能偕老。
【白頭疊雪】	見“白頭蹀跇”。
【白頭蹀跇】	形容老人發白體弱。
【白頭而新】	同“白頭如新”。
【白頭如新】	謂相交雖久而並不知己，像新知一樣。
【白頭相併】	又作：白頭偕老。
【白頭偕老】	謂夫婦共同生活到老。
【白頭之嘆】	謂婦女被遺棄而作晚景淒涼之嘆。
【白兔赤烏】	月亮和太陽的代稱。多借指時間。
【白屋之士】	指貧寒的士人。
【白雪陽春】	《白雪》《陽春》是戰國時期楚國的兩支高雅歌曲。見《文選·宋玉〈楚王問〉》。後亦用以泛指高雅的詩歌和其他文學藝術。
【白衣蒼狗】	唐杜甫《可嘆》詩：“天上浮雲如白衣，斯須改變如蒼狗。”後以“白衣蒼狗”比喻世事變化無常。
【白衣卿相】	指尚未發跡的讀書人。
【白衣秀士】	指尚未做官的讀書人。
【白衣宰相】	指宰相家屬中身無名位而仗勢擅權的人。
【白蟻爭穴】	比喻競逐名利。
【白魚赤烏】	《史記·周本紀》：“武王渡河，中流，白魚躍入王舟中，武王俯取以祭。既渡，有火自上復于下，至于王屋，流為烏，其色赤，其聲魄雲。”後遂以“白魚赤烏”為祥瑞之兆。
【白魚登舟】	見“白魚入舟”。
【白魚入舟】	《尚書大傳》卷三：“八百諸侯俱至孟津，白魚入舟。”《史記·周本紀》：“武王渡河，中流，白魚躍入王舟中，武王府取以祭。”裴駰集解引馬融曰：“魚者，介鱗之物，兵象也。白者，殷家之正色，言殷之兵眾與周之象也。”後遂以“白魚入舟”為殷亡周興之兆。
【白玉微瑕】	見“白璧微瑕”。
【白雲蒼狗】	同“白衣蒼狗”。
【白雲親舍】	《舊唐書·狄仁傑傳》：“其親在河陽別業，仁傑赴并州，登太行山，南望見白雲孤飛，謂左右曰：‘吾親所居，在此雲下。’瞻望佇立久之，雲移乃行。”後因以“白雲親舍”為思念親人的典故。
【白紙黑字】	①白紙上留下了黑的字。比喻徒具形式。②比喻有確鑿的文字憑據。
【百八真珠】	念珠。因念珠每串一百零八顆，故稱。
【百寶萬貨】	指大量珍寶財物。
【百不當一】	一百個抵擋不住一個。
【百不失一】	又作：萬無一失。形容絕不會失誤。
【百不為多，一不為少】	謂難得的好人或好東西。
【百不一貸】	又作：無一寬免。
【百不一遇】	一百次中遇不到一次。形容極其難得。
【百步穿楊】	《史記·周本紀》：“楚有養由基者，善射者也。去柳葉百步而射之，百發而百中之。左右觀者數千人，皆曰善射。”後因以“百步穿楊”形容射術非常高明。
【百尺竿頭】	①桅杆及雜技長竿的頂端。②喻極高的官位和功名。③喻學問、事業有很高的成就。④佛教語。比喻道行達到極高的境界。
【百尺無枝】	漢枚乘《七發》：“龍門之桐，高百尺而無枝。”後因以“百尺無枝”比喻罕見的大而有用之材。
【百川朝海】	眾水奔流趨向大海。多比喻無數分散的事物都彙集到一處。
【百川歸海】	見“百川朝海”。
【百代文宗】	永為後世宗仰的文人。
【百讀不厭】	誦讀多遍，不感厭倦。語出宋蘇軾《送安惇秀才失解西歸》詩：“舊書不厭百回讀，熟讀深思子自知。”後因以“百讀不厭”形容文章高超。
【百端待舉】	見“百凡待舉”。
【百墮俱舉】	同“百廢俱興”。
【百二關河】	同“百二山河”。
【百二金甌】	同“百二山河”。
【百二山川】	同“百二山河”。
【百二山河】	喻山河險固之地。
【百發百中】	①形容射術高明，百不失一。②比喻料事和打算極有把握。
【百凡待舉】	無數事情都等待興辦。
【百廢待舉】	見“百廢待興”。
【百廢待興】	謂許多被廢置的事業都等著興辦。
【百廢具舉】	見“百廢俱舉”。
【百廢具興】	見“百廢俱興”。
【百廢具作】	同“百廢俱興”。
【百廢俱舉】	同“百廢俱興”。
【百廢俱興】	謂一切廢置的事都興辦起來。
【百廢咸舉】	同“百廢俱興”。
【百感交集】	種種感觸交織在一起。形容感慨無比。
【百怪千奇】	形容花樣繁多。
【百鬼眾魅】	各種妖魔鬼怪。
